Year,Region,Average Median Sale Price,Average Median Sale to List Ratio
2010,"Prescott Valley, AZ",161705.83653846153,
2010,"Providence, RI",202360.36538461538,
2010,"Provo, UT",198685.83653846153,
2010,"Punta Gorda, FL",100776.20192307692,
2010,"Raleigh, NC",184131.84615384616,
2010,"Reading, PA",139582.91346153847,
2010,"Reno, NV",173307.68,
2010,"Richmond, VA",178739.38461538462,
2010,"Riverside, CA",177100.99038461538,
2010,"Rochester, MN",,
2010,"Rochester, NY",116308.84615384616,
2010,"Rockford, IL",98279.77884615384,
2010,"Sacramento, CA",208953.8076923077,
2010,"Salisbury, MD",202041.96153846153,
2010,"Salt Lake City, UT",207648.01923076922,
2010,"San Antonio, TX",146064.92307692306,
2010,"San Diego, CA",353021.6826923077,
2010,"San Francisco, CA",392064.41346153844,
2010,"San Jose, CA",512616.60576923075,
2010,"San Luis Obispo, CA",377069.2211538461,
2010,"Santa Maria, CA",356340.20192307694,
2010,"Santa Rosa, CA",338001.1346153846,
2010,"Savannah, GA",151052.63461538462,
2010,"Scranton, PA",100357.57692307692,
2010,"Seattle, WA",293513.53846153844,
2010,"Sebastian, FL",121181.69230769231,
2010,"Spokane, WA",159579.125,
2010,"Springfield, IL",,
2010,"Springfield, MA",176203.90384615384,
2010,"Springfield, MO",112769.08653846153,
2010,"St. Louis, MO",134116.38461538462,
2010,"Stockton, CA",165849.8076923077,
2010,"Tallahassee, FL",141549.13461538462,
2010,"Tampa, FL",118130.13461538461,
2010,"Toledo, OH",78681.55769230769,
2010,"Trenton, NJ",226123.01030927835,
2010,"Tucson, AZ",155968.74757281554,
2010,"Tulsa, OK",118529.0,
2010,United States,158056.23076923078,
2010,"Urban Honolulu, HI",468603.4423076923,
2010,"Virginia Beach, VA",202620.03846153847,
2010,"Visalia, CA",127622.10576923077,
2010,"Washington, DC",288284.6346153846,
2010,"Wilmington, NC",,
2010,"Winston, NC",121301.67307692308,
2010,"Worcester, MA",194261.79807692306,
2010,"York, PA",143688.96153846153,
2010,"Youngstown, OH",66861.02884615384,
2011,"Akron, OH",87005.2924528302,
2011,"Albany, NY",165957.15094339623,
2011,"Albuquerque, NM",161971.98113207548,
2011,"Allentown, PA",156265.55660377358,
2011,"Asheville, NC",170252.179245283,
2011,"Atlanta, GA",100761.44339622642,
2011,"Augusta, GA",96680.18867924529,
2011,"Austin, TX",187571.84905660377,
2011,"Bakersfield, CA",118180.03773584905,
2011,"Baltimore, MD",221951.04716981133,
2011,"Barnstable Town, MA",321252.11320754717,
2011,"Baton Rouge, LA",156273.93396226416,
2011,"Bend, OR",,
2011,"Birmingham, AL",136767.71698113208,
2011,"Boise City, ID",115313.2641509434,
2011,"Boston, MA",309591.53773584904,
2011,"Boulder, CO",317605.4905660377,
2011,"Bremerton, WA",235866.33009708737,
2011,"Bridgeport, CT",417044.21698113205,
2011,"Buffalo, NY",118055.17924528301,
2011,"Canton, OH",80297.01886792453,
2011,"Cape Coral, FL",100493.8679245283,
2011,"Cedar Rapids, IA",122786.6603773585,
2011,"Charleston, SC",181013.3203883495,
2011,"Charlotte, NC",144743.95283018867,
2011,"Chattanooga, TN",109817.21698113208,
2011,"Chicago, IL",167450.30188679244,
2011,"Cincinnati, OH",120138.7924528302,
2011,"Clarksville, TN",118841.59433962264,
2011,"Cleveland, OH",101758.54716981133,
2011,"Colorado Springs, CO",175012.3396226415,
2011,"Columbia, MO",,
2011,"Columbia, SC",125101.55882352941,
2011,"Columbus, OH",117196.69811320755,
2011,"Concord, NH",,
2011,"Corpus Christi, TX",128763.57547169812,
2011,"Crestview, FL",176704.320754717,
2011,"Dallas, TX",144588.7358490566,
2011,"Daphne, AL",141735.8962264151,
2011,"Davenport, IA",104137.43396226416,
2011,"Dayton, OH",91237.66981132075,
2011,"Deltona, FL",100248.8396226415,
2011,"Denver, CO",205712.34905660377,
2011,"Des Moines, IA",127632.01886792453,
2011,"Detroit, MI",72724.05660377358,
2011,"Duluth, MN",112416.6603773585,
2011,"Durham, NC",168299.90566037735,
2011,"El Paso, TX",127084.66981132075,
2011,"Eugene, OR",176274.28301886792,
2011,"Fayetteville, AR",110498.2641509434,
2011,"Fayetteville, NC",121159.66346153847,
2011,"Flint, MI",61612.21698113208,
2011,"Fort Collins, CO",217296.34905660377,
2011,"Fresno, CA",136405.88679245283,
2011,"Grand Rapids, MI",96860.62264150943,
2011,"Greeley, CO",156222.51886792452,
2011,"Greensboro, NC",112190.56603773584,
2011,"Greenville, SC",124564.47115384616,
2011,"Harrisburg, PA",146154.679245283,
2011,"Hartford, CT",209428.14150943398,
2011,"Hickory, NC",102649.52830188679,
2011,"Hilton Head Island, SC",,
2011,"Houston, TX",147545.66981132075,
2011,"Huntsville, AL",110567.55714285714,
2011,"Indianapolis, IN",116599.53773584905,
2011,"Jacksonville, FL",129505.50943396226,
2011,"Jacksonville, NC",,
2011,"Kansas City, MO",131763.21698113208,
2011,"Killeen, TX",112517.21698113208,
2011,"Knoxville, TN",124036.03773584905,
2011,"Lake Havasu City, AZ",,
2011,"Lakeland, FL",88576.39622641509,
2011,"Lancaster, PA",159795.83018867925,
2011,"Lansing, MI",73859.92452830188,
2011,"Las Vegas, NV",117273.55660377358,
2011,"Lexington, KY",137717.03773584907,
2011,"Lincoln, NE",,
2011,"Little Rock, AR",147064.1603773585,
2011,"Los Angeles, CA",355230.0094339623,
2011,"Louisville, KY",127802.1603773585,
2011,"Lubbock, TX",118015.96226415095,
2011,"Madison, WI",189152.45283018867,
2011,"Memphis, TN",109033.62264150943,
2011,"Miami, FL",141307.0849056604,
2011,"Milwaukee, WI",161721.5849056604,
2011,"Minneapolis, MN",156084.35849056602,
2011,"Modesto, CA",133786.04716981133,
2011,"Myrtle Beach, SC",134319.09433962265,
2011,"Naples, FL",,
2011,"Nashville, TN",141633.3679245283,
2011,"New Haven, CT",191681.6037735849,
2011,"New Orleans, LA",,
2011,"New York, NY",346851.06603773584,
2011,"North Port, FL",138328.95283018867,
2011,"Ogden, UT",160803.81132075473,
2011,"Oklahoma City, OK",110859.7924528302,
2011,"Omaha, NE",123653.89622641509,
2011,"Orlando, FL",116362.75471698113,
2011,"Oxnard, CA",368171.6509433962,
2011,"Palm Bay, FL",100334.8396226415,
2011,"Panama City, FL",,
2011,"Pensacola, FL",121077.27358490566,
2011,"Peoria, IL",103100.2075471698,
2011,"Philadelphia, PA",190713.0,
2011,"Phoenix, AZ",112947.2075471698,
2011,"Pittsburgh, PA",112436.34905660378,
2011,"Port St. Lucie, FL",106360.97169811321,
2011,"Portland, ME",205263.820754717,
2011,"Portland, OR",212903.37735849057,
2011,"Poughkeepsie, NY",,
2011,"Prescott Valley, AZ",145477.90566037735,
2011,"Providence, RI",193567.0754716981,
2011,"Provo, UT",177764.5849056604,
2011,"Punta Gorda, FL",93720.56603773584,
2011,"Raleigh, NC",186450.59433962265,
2011,"Reading, PA",132856.83018867925,
2011,"Reno, NV",151736.55339805825,
2011,"Richmond, VA",166105.12264150943,
2011,"Riverside, CA",171886.8679245283,
2011,"Rochester, MN",,
2011,"Rochester, NY",117336.78301886792,
2011,"Rockford, IL",85201.05660377358,
2011,"Sacramento, CA",186313.80188679244,
2011,"Salisbury, MD",195189.77142857143,
2011,"Salt Lake City, UT",182686.0754716981,
2011,"San Antonio, TX",144967.74528301886,
2011,"San Diego, CA",331918.6886792453,
2011,"San Francisco, CA",363663.0283018868,
2011,"San Jose, CA",491401.57547169813,
2011,"San Luis Obispo, CA",345030.37735849054,
2011,"Santa Maria, CA",327910.43396226416,
2011,"Santa Rosa, CA",309407.90566037735,
2011,"Savannah, GA",145882.42307692306,
2011,"Scranton, PA",96694.80188679245,
2011,"Seattle, WA",259781.6037735849,
2011,"Sebastian, FL",116285.84905660378,
2011,"Spokane, WA",148172.4716981132,
2011,"Springfield, IL",,
2011,"Springfield, MA",168674.38679245283,
2011,"Springfield, MO",108103.31132075471,
2011,"St. Louis, MO",125668.77358490566,
2011,"Stockton, CA",155476.14150943398,
2011,"Tallahassee, FL",127955.75471698113,
2011,"Tampa, FL",102792.05660377358,
2011,"Toledo, OH",75112.72641509434,
2011,"Trenton, NJ",207169.3396226415,
2011,"Tucson, AZ",127382.3679245283,
2011,"Tulsa, OK",118243.78301886792,
2011,United States,150240.34905660377,
2011,"Urban Honolulu, HI",465519.3679245283,
2011,"Virginia Beach, VA",183492.0,
2011,"Visalia, CA",115593.85849056604,
2011,"Washington, DC",293956.4811320755,
2011,"Wilmington, NC",,
2011,"Winston, NC",115013.50943396226,
2011,"Worcester, MA",179021.8679245283,
2011,"York, PA",134194.54716981133,
2011,"Youngstown, OH",66349.24528301887,
2012,"Akron, OH",100850.91346153847,
2012,"Albany, NY",169168.8076923077,
2012,"Albuquerque, NM",162464.89423076922,
2012,"Allentown, PA",153755.61538461538,
2012,"Asheville, NC",176880.01923076922,
2012,"Atlanta, GA",103986.54807692308,
2012,"Augusta, GA",102200.57692307692,
2012,"Austin, TX",197852.91346153847,
2012,"Bakersfield, CA",125445.53921568628,
2012,"Baltimore, MD",230802.36538461538,
2012,"Barnstable Town, MA",328456.6153846154,
2012,"Baton Rouge, LA",155959.27884615384,
2012,"Bend, OR",,
2012,"Birmingham, AL",148229.65384615384,
2012,"Boise City, ID",131082.84615384616,
2012,"Boston, MA",315440.2403846154,
2012,"Boulder, CO",333234.3846153846,
2012,"Bremerton, WA",233031.46,
2012,"Bridgeport, CT",403830.04807692306,
2012,"Buffalo, NY",120081.49038461539,
2012,"Canton, OH",90115.5,
2012,"Cape Coral, FL",122784.08653846153,
2012,"Cedar Rapids, IA",125301.69230769231,
2012,"Charleston, SC",192420.76923076922,
2012,"Charlotte, NC",149461.88461538462,
2012,"Chattanooga, TN",119001.19230769231,
2012,"Chicago, IL",159855.51923076922,
2012,"Cincinnati, OH",122298.86538461539,
2012,"Clarksville, TN",127376.19230769231,
2012,"Cleveland, OH",105241.36538461539,
2012,"Colorado Springs, CO",183168.65384615384,
2012,"Columbia, MO",,
2012,"Columbia, SC",122938.10576923077,
2012,"Columbus, OH",125911.42307692308,
